"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source","raw_row","easting_m","northing_m","month"
-1.37391,114.30549,332.7,0.49,0.4,2026-01-21,"0539","SNPP","SNPP","n","2",276.94,6.08,"D",0,"archive",2374,200142.953637671,9847972.2192234,"2026-01"
-1.3702,114.30495,338.75,0.49,0.4,2026-01-21,"0539","SNPP","SNPP","n","2",275.75,6.08,"D",0,"archive",2375,200082.352721947,9848382.67678905,"2026-01"
-1.64073,114.10743,332.35,0.72,0.75,2026-01-23,"0502","SNPP","SNPP","n","2",277.75,6.58,"D",0,"archive",2982,178123.005274956,9818416.75345858,"2026-01"
-1.00529,114.26716,334.91,0.61,0.71,2026-01-23,"0642","SNPP","SNPP","n","2",287.37,5.7,"D",0,"archive",3016,195833.76513255,9888757.79394237,"2026-01"
-0.84887,114.40506,295.95,0.52,0.5,2026-01-24,"1724","SNPP","SNPP","n","2",279.72,0.92,"N",0,"archive",3545,211180.248210459,9906077.34468138,"2026-01"
-1.11982,114.5031,332.21,0.46,0.39,2026-01-25,"0605","SNPP","SNPP","n","2",278.3,3.31,"D",0,"archive",3787,222121.760105471,9876107.69675603,"2026-01"
-2.33625,114.67394,305.46,0.5,0.66,2026-01-25,"1706","SNPP","SNPP","n","2",280.29,1.26,"N",0,"archive",3969,241310.150341004,9741558.59931962,"2026-01"
-2.33647,114.674,306.02,0.5,0.66,2026-01-25,"1706","SNPP","SNPP","n","2",280.29,1.06,"N",0,"archive",3970,241316.867145368,9741534.27323886,"2026-01"
-1.26426,114.32161,330.37,0.54,0.42,2026-01-30,"0611","SNPP","SNPP","n","2",293.97,3.11,"D",0,"archive",5385,201925.111450629,9860107.25271903,"2026-01"
-1.47955,114.58186,307.04,0.49,0.4,2026-03-07,"1738","SNPP","SNPP","n","2",281.41,0.9,"N",0,"archive",10261,230930.348322277,9836318.2328083,"2026-03"
-1.48074,114.57829,303.43,0.49,0.4,2026-03-07,"1738","SNPP","SNPP","n","2",279.14,1.8,"N",0,"archive",10262,230533.015698762,9836186.14923625,"2026-03"
-1.81212,114.35632,343.46,0.43,0.46,2026-03-24,"0618","SNPP","SNPP","n","2",296.84,7.44,"D",0,"archive",13278,205865.860693497,9799490.92417399,"2026-03"
-1.76487,114.31143,340.69,0.34,0.56,2026-03-27,"0521","SNPP","SNPP","n","2",289.92,3.12,"D",0,"archive",15237,200860.110338092,9804711.94264766,"2026-03"
