"r","observed","lower","upper","reference"
1.3,2.39591233878281,-0.126153672883417,0.0298718021509454,"Inhomogeneous reference"
1.4,2.42732130042367,-0.142593995841013,0.06960432646319,"Inhomogeneous reference"
1.5,2.45207588444761,-0.144495306226471,0.0497976528384025,"Inhomogeneous reference"
1.6,2.47348202711219,-0.157024611485762,0.079498905870798,"Inhomogeneous reference"
1.7,2.50343589229752,-0.159052567147086,0.0585224022997362,"Inhomogeneous reference"
1.8,2.52618413636299,-0.160957788063972,0.0443530870009061,"Inhomogeneous reference"
1.9,2.52646896412308,-0.151598674980572,0.0255305630947962,"Inhomogeneous reference"
2,2.53227807135026,-0.156422938231571,0.00708357839891294,"Inhomogeneous reference"
2.1,2.5286363143869,-0.154419816492638,0.00615871065131657,"Inhomogeneous reference"
2.2,2.52242743547657,-0.166014877347848,-0.00602228833992591,"Inhomogeneous reference"
2.3,2.50862839857195,-0.172110158125242,-0.00168970585599038,"Inhomogeneous reference"
2.4,2.49372754203206,-0.172090551443483,-0.0053106588394578,"Inhomogeneous reference"
2.5,2.48368303359592,-0.17514355751188,0.034055669427159,"Inhomogeneous reference"
2.6,2.46336113514811,-0.17862037724387,0.0213599890506293,"Inhomogeneous reference"
2.7,2.43952071869468,-0.188293231292435,0.0329515827478413,"Inhomogeneous reference"
2.8,2.41407050596591,-0.198411206971732,0.0166438223391543,"Inhomogeneous reference"
2.9,2.40675157282203,-0.199928859932952,0.0072582542059223,"Inhomogeneous reference"
3,2.38884083427605,-0.205307499845536,-0.010962740887833,"Inhomogeneous reference"
3.1,2.38047698911825,-0.205386577276513,-0.0236457415288349,"Inhomogeneous reference"
3.2,2.35670691898141,-0.209816455261771,-0.0309258227994498,"Inhomogeneous reference"
3.3,2.34073374061749,-0.214304884719858,-0.0451763010169532,"Inhomogeneous reference"
3.4,2.33231190997462,-0.22698164856146,-0.0279941973207167,"Inhomogeneous reference"
3.5,2.31709026488038,-0.224125836595691,-0.029743567035931,"Inhomogeneous reference"
3.6,2.30059953771704,-0.227524834279495,-0.0441194296385636,"Inhomogeneous reference"
3.7,2.27941840890687,-0.240922311695855,-0.0527673537739308,"Inhomogeneous reference"
3.8,2.26567540389876,-0.244965301036782,-0.0570071034411161,"Inhomogeneous reference"
3.9,2.24286969863832,-0.252376861126297,-0.0676040359042216,"Inhomogeneous reference"
4,2.21738878951883,-0.25583436838116,-0.072522257091586,"Inhomogeneous reference"
4.1,2.19337025216098,-0.252856528170026,-0.0753977856856034,"Inhomogeneous reference"
4.2,2.16346333197336,-0.253144527828571,-0.0781798080010256,"Inhomogeneous reference"
4.3,2.13244845428321,-0.26591225741041,-0.0809630582380416,"Inhomogeneous reference"
4.4,2.09398557781627,-0.273703822087728,-0.0769577642733301,"Inhomogeneous reference"
4.5,2.06042905903099,-0.27449418730548,-0.0891137187938327,"Inhomogeneous reference"
4.6,2.02557233899317,-0.276946478011514,-0.0932132289750367,"Inhomogeneous reference"
4.7,1.99331782031366,-0.289191234618785,-0.0848334687709391,"Inhomogeneous reference"
4.8,1.95997910501198,-0.298699138690534,-0.0870861955172737,"Inhomogeneous reference"
4.9,1.91777430965718,-0.294982123345845,-0.0896973661893847,"Inhomogeneous reference"
5,1.87884085991123,-0.297821840486314,-0.0991602488513124,"Inhomogeneous reference"
5.1,1.8342573462789,-0.299737333668711,-0.1023635400906,"Inhomogeneous reference"
5.2,1.79373164886348,-0.304919594494438,-0.113117699827882,"Inhomogeneous reference"
5.3,1.75933964755995,-0.320235004311853,-0.112781004282079,"Inhomogeneous reference"
5.4,1.71195096538689,-0.324418916480348,-0.120293476719595,"Inhomogeneous reference"
5.5,1.66600509568518,-0.317765018947065,-0.134140591273837,"Inhomogeneous reference"
5.6,1.61915043595597,-0.319695112937756,-0.138199650359914,"Inhomogeneous reference"
5.7,1.5748484816351,-0.320064465322858,-0.145724163992035,"Inhomogeneous reference"
